Date,Code,Statut,Potentiel,Payé,Reste,Km (total),Nb legs,Lien détail
22/12/2025 22:13,52A9517C,done,1879,1057,822,17.89,2,/orders/driver/orders/395/
12/12/2025 00:09,6D7E9266,done,4134,4134,0,45.71,2,/orders/driver/orders/389/
11/12/2025 21:52,BBC7C2BD,pending,4134,2067,2067,47.12,2,/orders/driver/orders/382/
11/12/2025 19:33,34AB6664,done,2001,2001,0,12.14,2,/orders/driver/orders/380/
11/12/2025 19:16,E4D103E1,pending,4134,2067,2067,47.12,2,/orders/driver/orders/378/
11/12/2025 17:26,849AE9F1,pending,4134,2050,2084,47.5,2,/orders/driver/orders/375/
10/12/2025 13:58,4ACCB0C4,done,1497,1497,0,9.4,2,/orders/driver/orders/359/
10/12/2025 12:38,56992009,done,4134,4134,0,54.02,2,/orders/driver/orders/357/
10/12/2025 11:57,242F28E1,pending,1289,0,1289,12.28,2,/orders/driver/orders/356/
09/12/2025 20:40,FFF2154A,done,4948,4948,0,0.0,2,/orders/driver/orders/350/
09/12/2025 19:23,359F7E48,done,6294,6294,0,0.0,2,/orders/driver/orders/349/
09/12/2025 12:22,3604532E,done,4948,4948,0,0.0,2,/orders/driver/orders/348/
08/12/2025 23:49,157C9FA8,done,4948,4948,0,0.0,2,/orders/driver/orders/344/
02/12/2025 18:53,587D0BD3,in_progress,3544,3544,0,0.0,2,/orders/driver/orders/340/
02/12/2025 09:40,659E044B,done,4132,4132,0,0.0,3,/orders/driver/orders/338/
01/12/2025 21:34,758B8801,done,4122,0,4122,39.26,2,/orders/driver/orders/336/
